datetime_utc,datetime,metered,xgboost_pred,lightgbm_pred,xgboost_residual_pred,lightgbm_residual_pred,transformer_pred,lstm_pred,moe_transformer_pred,mstnn_pred,transformer_residual_pred,lstm_residual_pred,moe_transformer_residual_pred,mstnn_residual_pred,moe_mstnn_pred,moe_mstnn_residual_pred,moe_lstm_pred,moe_lstm_residual_pred
2026-08-10 04:00:00+00:00,2026-08-10 00:00:00,3875.611,4050.3,4047.0,4081.2,4058.6,3953.5,4042.2,4060.0,3879.8,4075.3,3930.5,4057.3,4034.3,3948.6,3972.2,4042.2,4115.9
2026-08-10 05:00:00+00:00,2026-08-10 01:00:00,3634.204,3786.2,3713.8,3864.5,3810.2,3729.2,3761.5,3847.6,3627.4,3818.2,3694.7,3808.7,3774.0,3780.4,3766.3,3731.2,3829.3
2026-08-10 06:00:00+00:00,2026-08-10 02:00:00,3472.007,3568.4,3537.4,3707.7,3670.8,3504.6,3564.6,3648.0,3425.1,3691.6,3526.6,3621.5,3597.4,3601.0,3585.7,3543.2,3655.8
2026-08-10 07:00:00+00:00,2026-08-10 03:00:00,3376.343,3464.9,3445.7,3576.6,3558.5,3431.9,3453.8,3533.9,3309.9,3544.5,3415.1,3515.7,3497.4,3483.9,3472.2,3399.0,3549.7
2026-08-10 08:00:00+00:00,2026-08-10 04:00:00,3344.857,3456.7,3419.3,3590.1,3547.8,3382.3,3412.9,3525.3,3291.2,3487.2,3384.7,3479.3,3466.4,3506.3,3443.0,3403.9,3527.2
2026-08-10 09:00:00+00:00,2026-08-10 05:00:00,3431.247,3539.5,3543.0,3695.2,3663.6,3418.6,3507.5,3621.3,3361.2,3578.4,3455.3,3565.6,3549.3,3545.9,3533.2,3489.5,3623.6
2026-08-10 10:00:00+00:00,2026-08-10 06:00:00,3571.733,3737.3,3728.0,3832.1,3818.9,3613.1,3644.9,3750.6,3517.3,3679.1,3582.3,3667.5,3699.2,3684.9,3649.1,3649.8,3756.9
2026-08-10 11:00:00+00:00,2026-08-10 07:00:00,3730.037,3989.8,3956.3,4074.7,4031.6,3867.9,3894.4,3947.0,3795.6,3893.3,3768.1,3883.9,3880.0,3860.3,3871.0,3885.7,4013.7
2026-08-10 12:00:00+00:00,2026-08-10 08:00:00,3965.533,4312.8,4255.4,4353.5,4310.2,4171.4,4204.4,4273.1,4067.2,4166.9,4032.9,4148.2,4137.4,4166.7,4125.4,4172.1,4254.6
2026-08-10 13:00:00+00:00,2026-08-10 09:00:00,4290.747,4654.2,4656.5,4643.7,4641.3,4489.4,4473.7,4620.2,4403.0,4490.0,4322.3,4469.0,4430.7,4535.9,4432.6,4536.4,4579.1
2026-08-10 14:00:00+00:00,2026-08-10 10:00:00,4495.823,5067.3,5009.5,4941.9,4887.4,4816.6,4810.2,5026.8,4744.9,4825.6,4629.0,4779.9,4775.8,4817.3,4751.8,4907.3,4883.1
2026-08-10 15:00:00+00:00,2026-08-10 11:00:00,4614.319,5353.6,5322.4,5225.3,5198.4,5079.6,5129.8,5373.8,5117.0,5195.8,4928.5,5103.2,5116.3,5146.7,5077.8,5262.3,5153.1
2026-08-10 16:00:00+00:00,2026-08-10 12:00:00,4909.083,5565.6,5556.5,5382.2,5399.3,5408.6,5371.4,5618.8,5414.4,5458.3,5213.4,5410.8,5378.9,5343.2,5308.5,5351.9,5315.0
2026-08-10 17:00:00+00:00,2026-08-10 13:00:00,5204.688,5781.1,5763.0,5533.8,5567.7,5647.2,5650.3,5873.2,5672.8,5704.9,5465.5,5625.8,5654.1,5551.3,5518.5,5577.7,5490.6
2026-08-10 18:00:00+00:00,2026-08-10 14:00:00,5482.89,5878.2,5792.3,5668.4,5700.4,5723.7,5809.4,6085.5,5812.2,5859.1,5656.0,5756.9,5830.1,5750.2,5785.6,5776.0,5649.1
2026-08-10 19:00:00+00:00,2026-08-10 15:00:00,5665.355,5952.2,5827.5,5815.0,5812.0,5985.7,5914.4,6190.6,5931.0,6039.7,5861.0,5886.7,6044.2,5856.6,5900.7,5926.5,5807.6
2026-08-10 20:00:00+00:00,2026-08-10 16:00:00,5445.841,5937.8,5911.2,5888.5,5885.2,6042.5,6010.4,6348.9,6079.0,6162.2,5986.3,6011.8,6219.7,6007.7,6024.3,6029.2,5904.3
2026-08-10 21:00:00+00:00,2026-08-10 17:00:00,4807.548,6002.9,5977.2,5964.7,5968.9,6098.2,6086.9,6364.3,6125.5,6202.0,6055.9,6118.1,6259.5,6089.7,6119.3,6096.9,5987.3
2026-08-10 22:00:00+00:00,2026-08-10 18:00:00,4590.216,5928.3,5966.2,5955.8,5885.4,5995.7,6019.1,6260.0,5980.7,6081.7,5954.1,6043.7,6135.9,5939.4,5993.5,6052.0,5897.0
2026-08-10 23:00:00+00:00,2026-08-10 19:00:00,4443.184,5742.7,5744.4,5810.2,5718.5,5739.9,5735.4,6007.7,5779.8,5863.7,5754.1,5822.5,5914.1,5714.3,5800.0,5798.0,5741.0
2026-08-11 00:00:00+00:00,2026-08-10 20:00:00,4385.775,5508.5,5557.4,5606.6,5515.6,5489.9,5473.1,5758.3,5530.1,5671.4,5511.4,5653.0,5678.1,5509.6,5556.2,5559.4,5513.8
2026-08-11 01:00:00+00:00,2026-08-10 21:00:00,4221.796,5191.5,5229.2,5309.3,5204.4,5220.9,5206.4,5492.3,5229.6,5386.9,5218.9,5337.8,5419.4,5368.9,5382.5,5432.3,5345.3
2026-08-11 02:00:00+00:00,2026-08-10 22:00:00,3942.097,4823.7,4856.7,4915.9,4802.7,4847.9,4808.8,5091.5,4807.9,4952.6,4838.1,4947.4,5045.2,4995.5,4981.4,5024.4,4938.6
2026-08-11 03:00:00+00:00,2026-08-10 23:00:00,3655.795,4411.5,4450.3,4504.6,4415.2,4391.8,4387.2,4620.8,4343.0,4592.2,4446.3,4580.9,4611.7,4521.2,4583.1,4563.4,4557.8
2026-08-11 04:00:00+00:00,2026-08-11 00:00:00,3394.993,3978.4,3990.0,3722.8,3803.5,3816.0,3881.4,3774.9,3747.8,3805.4,3530.4,3878.1,3790.8,3813.9,3822.7,3911.2,3804.4
2026-08-11 05:00:00+00:00,2026-08-11 01:00:00,3208.047,3730.7,3731.8,3512.7,3574.6,3546.9,3645.0,3609.9,3528.7,3565.1,3317.4,3632.8,3576.8,3669.0,3595.9,3674.9,3597.2
2026-08-11 06:00:00+00:00,2026-08-11 02:00:00,3084.293,3576.7,3581.8,3356.6,3386.0,3374.1,3456.3,3450.8,3332.9,3423.9,3173.5,3457.5,3400.5,3531.2,3411.1,3488.8,3441.5
2026-08-11 07:00:00+00:00,2026-08-11 03:00:00,3019.529,3471.6,3475.2,3276.5,3270.0,3318.1,3371.2,3338.8,3261.2,3304.3,3086.3,3346.9,3342.7,3394.3,3314.5,3353.7,3328.7
2026-08-11 08:00:00+00:00,2026-08-11 04:00:00,3042.092,3433.6,3456.7,3262.2,3289.5,3283.7,3329.6,3327.1,3250.9,3270.7,3082.8,3372.6,3293.3,3386.7,3317.3,3334.2,3321.4
