datetime_utc,datetime,metered,xgboost_pred,lightgbm_pred,xgboost_residual_pred,lightgbm_residual_pred,transformer_pred,lstm_pred,moe_transformer_pred,mstnn_pred,transformer_residual_pred,lstm_residual_pred,moe_transformer_residual_pred,mstnn_residual_pred,moe_mstnn_pred,moe_mstnn_residual_pred,moe_lstm_pred,moe_lstm_residual_pred
2026-08-11 04:00:00+00:00,2026-08-11 00:00:00,16245.533,16752.2,16639.5,17956.7,17937.9,17071.4,16992.6,17361.7,16759.2,17907.3,18135.1,17891.5,17718.3,17344.1,17939.8,16660.1,17944.0
2026-08-11 05:00:00+00:00,2026-08-11 01:00:00,15623.121,16072.2,15919.4,17128.6,17248.8,16290.0,16060.6,16920.8,16079.0,17281.7,17472.6,16984.1,17016.1,17450.3,17165.9,16128.3,17332.9
2026-08-11 06:00:00+00:00,2026-08-11 02:00:00,15203.036,15620.4,15461.9,16506.9,16567.1,15657.9,15588.5,16015.2,15479.9,16772.7,16928.4,16425.2,16647.2,16274.0,16713.6,15160.5,16823.9
2026-08-11 07:00:00+00:00,2026-08-11 03:00:00,14995.681,15346.2,15224.9,16266.3,16239.5,15304.4,15225.0,15543.3,15024.7,16371.8,16553.1,16269.6,16339.3,15351.0,16432.6,14968.9,16541.6
2026-08-11 08:00:00+00:00,2026-08-11 04:00:00,15145.906,15358.7,15124.4,16287.6,16352.4,15179.6,15141.7,15686.2,14888.7,16411.3,16593.0,16191.7,16299.4,15583.5,16371.6,14476.1,16377.3
2026-08-11 09:00:00+00:00,2026-08-11 05:00:00,15563.4,15720.5,15393.9,16674.6,16603.6,15438.2,15362.5,15781.3,15222.7,16675.7,16816.9,16529.7,16594.1,15704.6,16728.8,14875.9,16705.9
2026-08-11 10:00:00+00:00,2026-08-11 06:00:00,16031.883,16131.3,15891.3,17164.0,17071.5,15910.2,15984.5,16419.4,15796.8,17146.4,17359.9,16989.7,17094.5,16518.2,16990.8,15692.3,17155.7
2026-08-11 11:00:00+00:00,2026-08-11 07:00:00,16438.108,16778.4,16542.9,17606.1,17637.7,16568.3,16568.8,16458.5,16599.2,17699.3,17926.7,17675.0,17658.0,16685.4,17560.9,15783.8,17759.7
2026-08-11 12:00:00+00:00,2026-08-11 08:00:00,16790.794,17336.2,17165.3,18289.1,18317.8,17271.4,17371.3,17185.1,17429.4,18264.7,18702.5,18485.1,18255.8,17429.3,18316.1,16581.6,18484.1
2026-08-11 13:00:00+00:00,2026-08-11 09:00:00,17383.787,18162.0,18081.9,19245.5,19182.2,18195.6,18171.6,18361.5,18354.9,19125.4,19500.5,19050.9,19031.8,18906.2,19227.3,17938.3,19439.9
2026-08-11 14:00:00+00:00,2026-08-11 10:00:00,18132.814,19023.8,19025.6,20285.7,20309.2,19274.5,19209.6,19369.1,19404.1,20093.9,20510.6,20178.9,20042.3,19811.6,20151.0,18989.9,20460.2
2026-08-11 15:00:00+00:00,2026-08-11 11:00:00,19043.95,19778.9,20064.6,21322.3,21317.2,20210.0,20074.4,20693.9,20314.9,21072.4,21514.6,21160.2,21079.2,21166.0,21135.8,20429.2,21491.6
2026-08-11 16:00:00+00:00,2026-08-11 12:00:00,19858.894,20699.4,20941.4,22189.7,22260.0,21033.2,20927.6,21011.9,21290.8,22024.2,22465.4,22243.8,22008.1,21951.5,22039.7,21442.1,22049.5
2026-08-11 17:00:00+00:00,2026-08-11 13:00:00,20684.546,21353.9,21671.7,22814.0,22951.6,21732.1,21535.3,21560.6,22002.0,22767.3,23260.0,22915.4,22710.5,22653.5,22788.7,22170.3,22885.1
2026-08-11 18:00:00+00:00,2026-08-11 14:00:00,21331.003,21731.0,21988.6,23085.3,23100.3,22198.5,22000.1,22350.6,22472.8,23309.8,23768.3,23532.4,23335.9,23085.2,23265.1,23253.1,23445.2
2026-08-11 19:00:00+00:00,2026-08-11 15:00:00,21744.825,21877.2,22165.7,23287.5,23264.7,22547.1,22250.3,22459.7,22659.3,23498.5,24012.7,23721.4,23509.4,23579.7,23627.4,23463.0,23794.5
2026-08-11 20:00:00+00:00,2026-08-11 16:00:00,22082.683,21862.8,22265.4,23237.2,23396.2,22627.9,22425.2,22308.7,22860.1,23533.6,23995.4,23795.0,23621.4,23582.7,23625.7,23453.0,23865.2
2026-08-11 21:00:00+00:00,2026-08-11 17:00:00,22236.903,21902.1,22130.5,23297.1,23609.8,22498.9,22340.0,22196.3,23006.6,23498.8,23890.4,23873.3,23524.0,23729.3,23603.0,23320.9,23868.8
2026-08-11 22:00:00+00:00,2026-08-11 18:00:00,22130.737,21494.9,21986.7,23236.9,23389.8,22314.6,21987.7,21930.6,22513.1,23095.9,23579.1,23435.0,23305.4,23486.6,23324.0,22512.2,23581.8
2026-08-11 23:00:00+00:00,2026-08-11 19:00:00,21528.413,21022.0,21316.3,22583.3,22809.7,21729.8,21498.8,21397.9,21979.3,22582.5,22980.3,23047.7,22598.4,22665.9,22848.0,22112.1,22974.8
2026-08-12 00:00:00+00:00,2026-08-11 20:00:00,20987.643,20574.5,20727.2,22029.8,22125.0,21114.4,20781.9,20515.9,21449.8,21912.6,22346.9,22338.8,22001.3,21659.4,22206.6,21156.6,22430.1
2026-08-12 01:00:00+00:00,2026-08-11 21:00:00,20041.704,19603.3,19754.3,21140.6,21109.2,20358.2,19854.4,20254.7,20469.6,20978.1,21413.4,21180.2,21147.8,20940.8,21377.5,20297.5,21681.8
2026-08-12 02:00:00+00:00,2026-08-11 22:00:00,18845.9,18284.1,18696.8,19986.4,19893.3,18956.0,18672.4,19222.3,19165.0,19891.7,20244.9,19777.0,19968.3,19801.0,20088.2,18770.6,20495.2
2026-08-12 03:00:00+00:00,2026-08-11 23:00:00,17611.577,17283.2,17551.5,18773.1,18810.9,17886.4,17509.3,17860.8,17910.0,18840.5,19153.4,18619.4,18782.5,18078.1,19059.6,17275.0,19264.2
2026-08-12 04:00:00+00:00,2026-08-12 00:00:00,16738.044,16150.9,16571.7,17382.6,17493.7,16665.4,16229.4,16349.9,16084.3,16599.3,16857.6,16369.7,16391.3,16410.6,16343.2,15900.4,16407.4
2026-08-12 05:00:00+00:00,2026-08-12 01:00:00,16036.841,15565.1,15907.7,16649.0,16796.3,16153.7,15496.3,15810.3,15436.4,16009.4,16241.2,15686.8,15732.1,16585.7,15751.0,15301.4,15997.2
2026-08-12 06:00:00+00:00,2026-08-12 02:00:00,15555.814,15139.2,15334.9,16142.1,16243.2,15631.2,15061.4,15100.9,15010.7,15581.5,15813.5,15153.0,15405.0,15730.7,15354.3,14568.4,15514.3
2026-08-12 07:00:00+00:00,2026-08-12 03:00:00,15290.397,14857.0,15061.1,15832.0,15888.0,15314.9,14765.1,14704.9,14664.6,15207.2,15485.7,14958.7,15180.3,14914.3,15111.3,14273.8,15231.7
2026-08-12 08:00:00+00:00,2026-08-12 04:00:00,15267.257,14906.8,14961.1,15716.9,15850.8,15230.7,14666.2,14913.9,14585.4,15235.1,15494.1,14940.3,15128.1,15008.8,14916.5,13986.6,15155.6
2026-08-12 09:00:00+00:00,2026-08-12 05:00:00,15493.705,15172.5,15288.3,16044.6,16117.6,15530.4,14927.2,14991.7,14938.0,15414.8,15793.3,15136.6,15482.8,15197.9,15194.9,14259.0,15401.3
2026-08-12 10:00:00+00:00,2026-08-12 06:00:00,16067.244,15665.5,15680.6,16517.6,16612.7,15867.8,15460.0,15487.1,15450.6,15902.7,16311.1,15597.9,16072.4,15749.3,15551.9,14911.8,15872.2
2026-08-12 11:00:00+00:00,2026-08-12 07:00:00,16392.218,16258.8,16195.2,16890.6,17123.3,16451.8,15993.3,15702.0,16130.4,16339.9,16815.6,16046.2,16627.9,15966.9,15803.3,15064.4,16184.7
2026-08-12 12:00:00+00:00,2026-08-12 08:00:00,16816.323,16806.5,16859.6,17632.6,17671.4,16929.3,16603.0,16399.4,16700.2,16837.8,17451.7,16577.0,16957.9,16567.7,16453.7,15686.3,16829.4
2026-08-12 13:00:00+00:00,2026-08-12 09:00:00,17492.163,17357.5,17650.1,18436.3,18561.5,17552.6,17241.7,17002.6,17350.9,17563.0,18057.9,17137.2,17493.3,17520.9,17064.5,16665.4,17523.8
2026-08-12 14:00:00+00:00,2026-08-12 10:00:00,18404.147,18246.0,18226.8,19304.5,19527.7,18342.7,18022.1,17948.5,18103.2,18522.0,18932.3,17913.2,18332.6,18127.2,17892.7,17603.3,18425.5
2026-08-12 15:00:00+00:00,2026-08-12 11:00:00,19253.935,19045.7,19214.1,20207.4,20463.6,18985.9,18716.5,18552.2,18709.1,19328.2,19881.7,18642.9,19141.2,19286.7,18567.8,18443.1,19260.7
2026-08-12 16:00:00+00:00,2026-08-12 12:00:00,19964.89,19632.7,19773.4,21070.2,21280.0,19485.1,19329.9,18807.6,19561.9,20219.9,20712.9,19561.9,19930.7,19803.8,19471.5,19509.8,20075.9
2026-08-12 17:00:00+00:00,2026-08-12 13:00:00,20592.47,20176.1,20419.2,21692.6,21874.3,20061.7,19874.1,19468.6,20115.7,20954.1,21462.1,20363.4,20600.4,20497.3,20195.1,20123.0,20861.8
2026-08-12 18:00:00+00:00,2026-08-12 14:00:00,21214.083,20554.3,20850.1,21912.6,22185.3,20438.3,20258.6,19909.0,20577.8,21485.6,22141.3,20885.6,21270.9,20936.4,20748.8,20978.6,21483.8
2026-08-12 19:00:00+00:00,2026-08-12 15:00:00,21718.001,20872.7,21006.2,22259.3,22414.3,20709.1,20464.3,20070.2,20793.3,21716.3,22466.7,21468.0,21593.7,21297.1,21355.8,21295.0,21993.2
2026-08-12 20:00:00+00:00,2026-08-12 16:00:00,22043.055,21201.7,21207.9,22231.4,22411.2,20890.4,20662.5,20077.7,21084.1,21904.2,22500.5,21581.8,21879.3,21592.2,21408.6,21355.6,22220.0
2026-08-12 21:00:00+00:00,2026-08-12 17:00:00,22203.803,21312.6,21242.7,22282.2,22507.6,20933.5,20696.8,20183.0,21314.5,21758.6,22340.4,21638.6,21858.8,21602.6,21574.6,21392.4,22282.8
2026-08-12 22:00:00+00:00,2026-08-12 18:00:00,21981.715,21060.4,21008.0,21975.6,22178.9,20825.5,20409.8,19948.7,20930.7,21470.9,22020.6,21179.4,21558.5,21518.7,21319.4,20759.3,21866.3
2026-08-12 23:00:00+00:00,2026-08-12 19:00:00,21477.002,20626.6,20576.3,21587.0,21481.3,20423.0,19980.2,19520.4,20661.5,20953.2,21481.1,20758.8,20932.6,20816.0,20590.8,20465.0,21294.8
2026-08-13 00:00:00+00:00,2026-08-12 20:00:00,20896.46,20082.9,20093.6,21047.1,20803.4,19951.7,19407.8,18914.7,20110.9,20358.3,20909.3,20228.8,20270.0,20092.5,20135.2,19590.4,20764.0
2026-08-13 01:00:00+00:00,2026-08-12 21:00:00,20019.515,19244.8,19209.4,20172.8,19966.8,19248.6,18668.8,18910.6,19277.9,19617.3,20015.4,19060.1,19513.4,19287.6,18999.4,18620.0,19632.2
2026-08-13 02:00:00+00:00,2026-08-12 22:00:00,18939.296,18105.1,18101.4,18963.3,18861.0,18143.7,17658.4,18050.3,18190.0,18502.2,18889.8,18063.5,18525.5,18330.7,17966.5,17372.3,18639.4
2026-08-13 03:00:00+00:00,2026-08-12 23:00:00,17836.719,16973.1,17057.7,17903.2,17802.9,17206.8,16651.1,16927.4,17122.8,17586.2,17905.8,17070.9,17451.1,17164.9,17033.2,16109.3,17515.7
2026-08-13 04:00:00+00:00,2026-08-13 00:00:00,17006.392,16816.1,16593.4,17149.7,17201.5,16603.2,15663.0,16223.0,16063.8,16793.2,16965.1,16530.8,16456.5,16427.1,16409.4,15454.7,16768.5
2026-08-13 05:00:00+00:00,2026-08-13 01:00:00,16274.876,16167.5,15881.0,16534.4,16567.7,16021.8,14870.3,15706.0,15415.4,16213.0,16331.6,15859.5,15835.6,16507.7,15891.7,15028.5,15999.3
2026-08-13 06:00:00+00:00,2026-08-13 02:00:00,15838.254,15606.8,15398.6,16004.6,15999.4,15441.0,14326.1,14982.2,14881.6,15738.9,15868.6,15379.5,15477.4,15651.5,15422.2,14371.6,15539.4
2026-08-13 07:00:00+00:00,2026-08-13 03:00:00,15646.387,15350.9,15080.0,15677.4,15663.0,15128.9,13997.8,14545.3,14524.8,15398.6,15564.1,15163.3,15224.9,15016.5,15154.4,14057.0,15260.2
2026-08-13 08:00:00+00:00,2026-08-13 04:00:00,15671.987,15210.3,14979.3,15652.8,15724.3,15041.1,13952.7,14858.3,14374.3,15411.9,15540.4,15129.0,15182.9,15021.3,15034.7,13975.0,15201.1
2026-08-13 09:00:00+00:00,2026-08-13 05:00:00,15931.007,15472.2,15432.3,16063.2,16062.8,15306.7,14154.9,14810.8,14706.8,15665.5,15851.7,15397.2,15508.8,15136.3,15326.9,14203.0,15427.4
2026-08-13 10:00:00+00:00,2026-08-13 06:00:00,16339.087,15987.3,15845.1,16535.0,16549.3,15552.0,14666.8,15396.2,15175.5,16071.2,16350.6,15712.9,16064.2,15805.0,15612.4,14908.6,15823.8
2026-08-13 11:00:00+00:00,2026-08-13 07:00:00,16778.556,16612.4,16493.3,17021.6,17118.2,16124.9,15235.2,15551.7,15986.0,16586.1,16821.6,16235.8,16553.4,15986.0,15983.5,14948.5,16325.0
2026-08-13 12:00:00+00:00,2026-08-13 08:00:00,17357.673,17293.5,17221.2,17712.0,17682.7,16731.2,16050.2,16456.0,16723.2,17113.8,17570.7,16822.3,17051.1,16704.9,16767.0,15664.0,17104.5
2026-08-13 13:00:00+00:00,2026-08-13 09:00:00,18184.143,18051.5,17971.0,18584.5,18454.7,17632.1,16907.3,17246.1,17538.6,17962.1,18355.3,17562.6,17824.2,17737.2,17582.5,16946.7,17996.9
2026-08-13 14:00:00+00:00,2026-08-13 10:00:00,19129.541,19058.4,18884.8,19419.2,19428.1,18608.4,17911.3,18384.0,18560.6,19003.8,19410.5,18664.3,18805.6,18695.8,18556.3,17880.9,19082.1
2026-08-13 15:00:00+00:00,2026-08-13 11:00:00,19987.033,19769.5,19767.1,20475.7,20494.0,19472.4,18830.8,19256.3,19346.1,20004.5,20535.0,19529.0,19879.5,20025.4,19537.5,18995.2,20189.9
2026-08-13 16:00:00+00:00,2026-08-13 12:00:00,20869.079,20690.8,20680.0,21581.4,21332.5,20152.8,19665.7,19754.9,20460.9,21047.9,21601.7,20582.2,20880.6,20606.0,20532.9,19860.6,21094.5
2026-08-13 17:00:00+00:00,2026-08-13 13:00:00,21527.978,21308.0,21301.7,22347.7,22211.3,20875.6,20335.7,20385.8,21114.1,21925.9,22486.4,21394.4,21671.6,21367.9,21334.8,20482.4,21943.1
2026-08-13 18:00:00+00:00,2026-08-13 14:00:00,22177.504,21605.0,21776.4,22900.5,22762.1,21408.2,20858.2,21019.8,21604.7,22574.0,23286.8,22084.7,22541.7,21793.9,22023.0,21402.9,22662.8
2026-08-13 19:00:00+00:00,2026-08-13 15:00:00,22758.404,21857.2,21973.0,23469.0,23241.9,21781.8,21147.3,21155.7,21882.2,23002.6,23757.4,22736.0,22889.2,22477.0,22600.0,21637.7,23180.8
